id,occupancy_rate_reviews,occupancy_rate_calendar,is_review_recent_z_score,Predicted Discrepency,Calendar Weight,Review Weight,Occupancy Rate Final,Occupancy Confidence
36907176,0.2742681303,-0.021276596,3.3971252567,0.3202962291,0.6797037709,0,0,0.6797037709
36908046,0.1099680017,0,0.9567145791,0.1625434283,0.8374565717,1,0.059847946,1.8374565717
36908902,0.1719832463,1,0.6416427105,0.6531253671,0.3468746329,1,0.385231013,1.3468746329
36910968,0.1582915689,-1,3.3458726899,1.2668846044,0,0,,0
36911220,0.1091626089,-0.8,0.9757700205,1.0806946035,0,1,0.1091626089,1
36911854,0.1449426559,-1,0.9540862423,1.2718996424,0,1,0.1449426559,1
36912362,,0,999,0.1625434283,0.8374565717,0,0,0.8374565717
36913011,,0,999,0.3441486329,0.6558513671,0,0,0.6558513671
36913394,0.2742681303,0,6.9388090349,0.2822732683,0.7177267317,0,0,0.7177267317
36914007,0.2339984909,1,1.2845995893,0.6605464505,0.3394535495,0.8577002053,0.4511986042,1.1971537549
36914033,0.5676317929,0.6222222222,1.4373716632,0.3467004439,0.6532995561,0.7813141684,0.5924913789,1.4346137245
36914055,0.2501063467,0,2.4969199179,0.1625434283,0.8374565717,0.2515400411,0.0577703915,1.0889966128
36914501,0.3644721225,-0.266666667,2.6178234086,0.6165080732,0.3834919268,0.1910882957,0.1212125896,0.5745802225
36914935,0.4176280465,0.9787234043,3.1382340862,0.6539871222,0.3460128778,0,0.9787234043,0.3460128778
36915255,0.3572235874,0.0384961489,2.4407392197,0.313236584,0.686763416,0.2796303901,0.1307213654,0.9663938061
36915405,0.283127451,0.1787234043,1.5178644764,0.2061589875,0.7938410125,0.7410677618,0.2291306171,1.5349087743
36915589,0.1349351781,0,2.0073921971,0.1625434283,0.8374565717,0.4963039014,0.0502105563,1.3337604732
36916000,0.2493009539,-0.8,1.0556057495,1.1236079843,0,0.9721971253,0.2493009539,0.9721971253
36916496,0.1977558155,0,1.8480492813,0.1625434283,0.8374565717,0.5759753593,0.0805857533,1.4134319311
36917552,0.1478214627,-0.533333333,0.9107186858,0.8056850818,0.1943149182,1,0.1237709254,1.1943149182
36919341,0.1365459637,0,2.640164271,0.1625434283,0.8374565717,0.1799178645,0.0241475088,1.0173744362
36922223,,0,999,0.1625434283,0.8374565717,0,0,0.8374565717
